,Unnamed: 0,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_types,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
0,0,1,employer,,16,yes,platinum,2,5,2,2,1,1,condominium,10,Johor,2,12262,853141,16025,Reject,7
1,1,1,employer,605505,19,no,normal,2,,2,2,1,2,,10,Johor,2,9251,882901,17082,Accept,9
2,2,1,employer,,,yes,normal,2,5,2,2,,3,condominium,10,Johor,,4919,540489,12613,Reject,8
3,3,1,employer,490216,,no,normal,2,5,,2,1,1,condominium,10,Johor,,4459,536727,10952,Accept,9
4,4,1,employer,292728,14,yes,normal,2,5,2,2,1,2,condominium,10,Johor,3,5628,774695,,Reject,8
5,5,1,employer,198118,,no,normal,2,5,2,,1,2,condominium,,Johor,2,11323,1350187,16349,Reject,7
6,6,1,employer,226681,,yes,gold,2,5,,,,1,condominium,10,Johor,,,615986,11172,Accept,7
7,7,1,employer,667042,21,no,normal,2,5,2,2,,2,condominium,10,Johor,,,,7543,Reject,8
8,8,1,employer,114428,24,yes,normal,2,5,2,,,2,condominium,10,Johor,,11983,556822,12947,Accept,8
9,9,1,employer,,12,no,gold,2,5,2,2,,1,condominium,10,Johor,2,,1155848,18385,Reject,7
10,10,1,employer,238090,22,yes,normal,2,5,2,,1,2,condominium,10,Johor,,5109,629295,,Reject,8
11,11,1,employer,,10,no,platinum,2,,2,,,3,condominium,10,Johor,1,,1010426,12328,Accept,7
12,12,1,employer,236478,23,yes,normal,2,5,2,,1,3,condominium,10,Johor,,6493,848730,11533,Accept,7
13,13,1,employer,,24,no,normal,2,5,2,2,,3,condominium,10,Johor,,5459,524595,15290,Accept,8
14,14,1,employer,244563,20,yes,normal,2,5,,2,1,3,condominium,10,Johor,2,,1251358,,Reject,6
15,15,1,employer,577456,13,no,normal,2,5,2,2,1,3,condominium,10,Johor,3,11886,1183881,12738,Accept,8
16,16,1,employer,,12,yes,gold,2,,2,,1,3,condominium,10,Johor,2,7593,786953,10878,Reject,7
17,17,1,employer,100443,14,no,normal,2,5,2,2,1,1,condominium,10,Johor,3,9947,561999,,Reject,8
18,18,1,employer,748282,18,yes,platinum,2,5,2,2,1,2,condominium,,Johor,,6209,672383,,Accept,6
19,19,1,employer,175553,12,no,,2,5,2,2,1,1,condominium,,Johor,,9972,1394542,8265,Reject,9
20,20,1,employer,196987,16,yes,gold,2,5,2,2,1,3,condominium,10,Johor,,,954301,16258,Reject,8
21,21,1,employer,473425,23,no,normal,2,5,2,,1,3,condominium,10,Johor,3,,927502,17751,Accept,6
22,22,1,employer,210738,10,yes,normal,2,5,2,2,1,1,condominium,10,Johor,,,946444,,Reject,6
23,23,1,employer,,15,no,normal,2,5,,2,,1,,,Johor,,11852,1308511,10653,Accept,6
24,24,1,employer,508544,19,yes,normal,2,5,2,,1,3,condominium,,Johor,3,9605,803230,,Accept,9
25,25,1,employer,,11,no,normal,2,5,2,,1,3,,,Johor,2,7185,1330083,,Accept,8
26,26,1,employer,247640,15,yes,normal,2,5,2,2,1,2,condominium,10,Johor,,6547,666752,,Accept,7
27,27,1,employer,255874,,no,platinum,2,5,2,2,1,3,condominium,10,Johor,2,8538,834522,,Accept,9
28,28,1,employer,767690,,yes,platinum,2,,2,2,1,1,condominium,10,Johor,2,10051,1227772,12280,Accept,8
29,29,1,employer,249608,,no,gold,2,5,2,2,1,2,condominium,10,Johor,1,9707,1011241,15707,Accept,7
30,30,1,employer,379899,13,yes,gold,2,,,2,1,3,condominium,10,Johor,2,,1413168,13576,Accept,8
31,31,1,employer,,18,no,gold,2,5,2,2,,1,condominium,10,Johor,,6552,,,Reject,9
32,32,1,employer,110747,15,yes,normal,2,5,,2,1,3,condominium,10,Johor,1,11154,1294348,18851,Reject,6
33,33,1,employer,379448,18,no,normal,2,5,2,2,1,1,condominium,10,Johor,2,10817,818703,,Accept,7
34,34,1,employer,362448,14,yes,normal,2,5,2,2,1,1,condominium,10,Johor,1,3698,538308,14981,Reject,6
35,35,1,employer,550775,24,no,normal,2,,2,,1,1,condominium,10,Johor,1,6425,481871,15957,Accept,8
36,36,1,employer,,18,yes,normal,2,5,2,,,1,condominium,10,Johor,,10565,757268,17968,Reject,7
37,37,1,employer,405343,11,no,gold,2,5,2,2,1,1,condominium,10,Johor,2,6116,746446,,Accept,6
38,38,1,employer,,22,yes,normal,2,5,2,2,1,2,condominium,,Johor,1,7443,1409154,19932,Reject,7
39,39,1,employer,503581,19,no,normal,2,5,2,2,1,2,condominium,10,Johor,1,,601169,17488,Accept,9
40,40,1,employer,132350,,yes,normal,2,5,2,,1,1,condominium,10,Johor,,,1413238,14137,Accept,7
41,41,1,employer,139803,14,no,gold,2,5,2,2,1,2,condominium,10,Johor,,,937765,12078,Reject,7
42,42,1,employer,,10,yes,normal,2,5,2,2,1,1,condominium,,Johor,,,903515,10349,Accept,6
43,43,1,employer,396011,,no,gold,2,,2,2,,2,condominium,10,Johor,3,,439917,10707,Accept,6
44,44,1,employer,565418,,yes,gold,2,5,2,,,1,condominium,10,Johor,1,10723,1179235,9137,Reject,6
45,45,1,employer,220915,15,no,platinum,2,5,2,2,1,3,condominium,10,Johor,2,,,18803,Accept,7
46,46,1,employer,238990,14,yes,normal,2,,2,,,1,condominium,10,Johor,,7616,657335,12506,Reject,6
47,47,1,employer,763798,13,no,normal,2,5,,,,2,condominium,10,Johor,2,7968,1438566,,Accept,9
48,48,1,employer,155112,14,yes,gold,2,5,2,2,1,1,condominium,10,Johor,3,6821,,,Accept,9
49,49,1,employer,623271,,no,normal,2,5,2,2,1,2,condominium,10,Johor,,5697,794586,15483,Accept,6
50,50,1,employer,732986,17,yes,normal,2,5,,2,1,1,condominium,10,Johor,,5680,499844,10774,Accept,7
51,51,1,employer,475541,17,no,normal,2,5,2,,,3,condominium,10,Johor,3,8893,1394458,8679,Accept,7
52,52,1,employer,364495,20,yes,normal,2,,2,,1,1,condominium,10,Johor,,,884635,,Accept,7
53,53,1,employer,497623,22,no,normal,2,5,2,,1,2,condominium,10,Johor,3,9118,1254034,14645,Accept,6
54,54,1,employer,329944,11,yes,normal,2,5,2,2,1,2,,,Johor,3,,1220164,11040,Accept,9
55,55,1,employer,783763,,no,normal,2,,2,,1,2,condominium,10,Johor,2,6819,1122740,11934,Reject,9
56,56,1,employer,,23,yes,normal,2,5,2,2,1,1,condominium,10,Johor,3,11763,1423797,17178,Accept,6
57,57,1,employer,,21,no,normal,2,5,,,1,3,condominium,10,Johor,,,1372361,,Accept,8
58,58,1,employer,236410,19,yes,normal,2,5,2,2,1,3,condominium,10,Johor,1,8175,1194440,,Accept,9
59,59,1,employer,659582,23,no,gold,2,5,2,2,,2,condominium,10,Johor,1,6153,662544,,Reject,9
60,60,1,employer,,24,yes,normal,2,5,2,2,,2,condominium,10,Johor,1,6693,1381890,13067,Accept,7
61,61,1,employer,,21,no,gold,2,5,2,,1,3,condominium,10,Johor,2,8337,673952,13691,Accept,6
62,62,1,employer,177790,20,yes,normal,2,,2,2,1,1,,10,Johor,1,,1100588,,Reject,7
